"Sys","Sys","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","GasEx","LeafQ","Const","Const","Meas","Meas","Meas","Meas","Meas","Meas","Meas","Meas","Meas","Status","Status","plant specification","plant specification","plant specification","plant specification","plant specification","in","in","calibrated TDL","calibrated TDL (sample)","calibrated TDL (sample)","calibrated TDL (sample)","calibrated TDL (sample)","calibrated TDL (sample)","calibrated TDL (sample)","calibrated TDL (reference)","calibrated TDL (reference)","calibrated TDL (reference)","calibrated TDL (reference)","calibrated TDL (reference)","calibrated TDL (reference)","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated","calculated"
"obs","time","E","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","Qin","S","K","CO2_s","CO2_r","H2O_s","H2O_r","Flow","Pa","DeltaPcham","Tair","Tleaf","Flow_s","Flow_r","genotype","event","replicate","event_rep","original_file","Oxygen","respiration","cycle_num","valve_number_s","tdl_time_s","calibrated_12c_s","calibrated_13c_s","total_mixing_ratio_s","total_isotope_ratio_s","valve_number_r","tdl_time_r","calibrated_12c_r","calibrated_13c_r","total_mixing_ratio_r","total_isotope_ratio_r","Cs_licor","Ce_licor","ppO2","gsc","gbc","Csurface","ppCO2_s","ppCO2_r","ppCO2_surface","ppCO2_i","xsi_LICOR","xsi_TDL","a_bar","t","gamma_star","e","delta_tdl","delta_i","delta_e","delta_f","equation_top","delta_difference","gmc"
"NA","s","mol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","Pa","Pa","mol m^(-2) s^(-1)","mol m^(-2) s^(-1)","mol m^(-2) s^(-1)","mol m^(-2) s^(-1)","degrees C","kPa","%","kPa","kPa","kPa","micromol m^(-2) s^(-1)","cm^2","NA","micromol mol^(-1)","micromol mol^(-1)","mmol mol^(-1)","mmol mol^(-1)","micromol s^(-1)","kPa","kPa","degrees C","degrees C","micromol s^(-1)","micromol s^(-1)","","","","","","%","micromol m^(-2) s^(-1)","","","","ppm","ppm","ppm","ppt","","","ppm","ppm","ppm","ppt","micromol mol^(-1)","micromol mol^(-1)","bar","mol m^(-2) s^(-1)","mol m^(-2) s^(-1)","micromol mol^(-1)","bar","bar","bar","bar","","","","","bar","","ppt","ppt","ppt","ppt","","ppt","mol m^(-2) s^(-1) bar^(-1)"
"1","2021-04-12 10:28:04","0.00531805406065343","44.1290648211494","399.833741935484","188.524601090464","18.5689690364022","39.3821301345502","0.366692709699005","2.90095988884009","0.342751237857059","0.216240174826543","24.9979612903226","3.17929113335338","52.2364506962403","1.68881060221617","3.23301177569808","1.49048053113721","1800.00290322581","6","0.5","399.833741935484","455.338967741936","17.145935483871","10.8738322580645","500.011322580645","98.3962483870968","0.10001644516129","25.2793032258064","24.9979612903226","355.086","385.11","36625","17","3","17-3","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-3.xlsx","2","0.710568448235977","38","13","2021-04-12 10:28:22","393.915014383897","4.36652369385943","398.281538077756","-8.47621471092663","12","2021-04-12 10:28:02","444.817591948143","4.92356682756453","449.741158775707","-9.92582493737693","406.808860410347","460.344678557462","0.0196792496774194","0.229182943561878","2.11748896995627","378.016679003189","0.000393421401850262","0.000448036461702598","0.000371954230416632","0.000185501134759756","8.20353329125645","8.73969051220807","4.24512930076014","0.0123488382583239","4.65230488827881e-06","-1.92582493737693","12.9428254387529","16.287218814873","-0.0143795403875921","0.140603064370626","3130756.28020552","3.21816985213709","0.972837489645391"
"2","2021-04-12 10:31:04","0.00564259458766874","44.8015084732954","400.011677419355","197.721996502515","19.4744360644726","39.3987617702746","0.391159087247606","2.90144368621822","0.364047045751835","0.229808523397077","25.0012129032258","3.17990752668648","52.1762533129257","1.69103540599802","3.24100581898067","1.48887212068847","1799.9935483871","6","0.5","400.011677419355","456.479935483871","17.1689129032258","10.5142967741935","500.018387096774","98.394035483871","0.0999935516129032","25.3208193548387","25.0012129032258","355.382","384.654","36625","17","3","17-3","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-3.xlsx","2","0.710568448235977","39","13","2021-04-12 10:31:22","393.938230829933","4.36779749908051","398.306028329014","-8.24541846390958","12","2021-04-12 10:31:02","446.117109161765","4.9397930997014","451.056902261467","-9.55644538927025","406.999414925881","461.330501285373","0.0196788070967742","0.244474429529754","2.11784210672863","377.82116283319","0.000393587631819628","0.000449149029696751","0.000371753489023663","0.000194546651398103","8.08383242426807","8.550700085823","4.23545491926041","0.0123287279751621","4.65220025928468e-06","-1.55644538927025","11.4326268467979","16.8609349264359","-0.0120169187120872","0.140534867144436","3176267.43555461","5.29979013120563","0.599319474341535"
"3","2021-04-12 10:34:04","0.00597634502655202","45.5821504239515","399.921935483871","203.499071455142","20.043245763752","39.3895342219561","0.4119176935146","2.90164641795229","0.381971652171089","0.241241144329763","25.0334451612903","3.18602329858785","51.6847130710427","1.68308781211272","3.25645188316949","1.50293548647513","1800.01838709677","6","0.5","399.921935483871","457.487483870968","17.0883903225806","10.039464516129","500.009709677419","98.3930838709677","0.0999737161290322","25.4007838709677","25.0334451612903","355.503","383.766","36625","17","3","17-3","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-3.xlsx","2","0.710568448235977","40","13","2021-04-12 10:34:22","393.790506496128","4.36844706458777","398.158953560716","-7.72583124160675","12","2021-04-12 10:34:02","446.798673138968","4.94864553940306","451.747318678371","-9.29507274998354","406.874770372405","462.126991403105","0.0196786167741935","0.257448558446625","2.11799008609656","377.303965827958","0.000393495525399042","0.000450136043704341","0.00037124100754559","0.000200229012053498","7.94724443159324","8.42995149574993","4.22727594034619","0.0124390238298035","4.6521552657668e-06","-1.29507274998354","13.5117614802858","17.2306921337065","-0.0101290803480874","0.140597418937019","3232556.71308161","3.58846231483172","0.90081946791552"
"4","2021-04-12 10:37:04","0.00623788618881112","46.2932032946977","399.983741935484","209.89091151897","20.6741958438652","39.3982862587591","0.434390377965302","2.90162947668642","0.401228460396307","0.253535956763551","24.9940322580645","3.17854646405094","51.6891970297195","1.68498099784448","3.25983202423452","1.49356546620646","1800","6","0.5","399.983741935484","458.528580645161","17.1064548387097","9.74917548387097","500.009129032258","98.3997225806452","0.0999966032258065","25.4182387096774","24.9940322580645","355.9","383.139","36625","17","3","17-3","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-3.xlsx","2","0.710568448235977","41","13","2021-04-12 10:37:22","393.956931224482","4.37001776718984","398.326948991672","-7.78838378063929","12","2021-04-12 10:37:02","447.709644027972","4.95752577614021","452.667169804112","-9.5367145558215","406.945130431035","463.042866810249","0.019679944516129","0.271493986228314","2.11797772020907","376.982311968459","0.0003935828924322","0.000451190851307809","0.000370949549155066","0.000206532074656654","7.83209230311484","8.33024163384476","4.21849844165643","0.0123536731869158","4.65246915274918e-06","-1.5367145558215","14.8970015749005","17.6283260611163","-0.01221387469593","0.140551695393954","3282097.64354693","2.60298666551778","1.26089683325138"
"5","2021-04-12 10:40:04","0.00646391704717617","46.7181096220384","399.973419354839","214.846512156435","21.1636915544109","39.3998207940436","0.451962201614871","2.90147892977969","0.416179756546742","0.263090778521784","24.9906129032258","3.17789851793628","51.6913492158532","1.68571578722471","3.26111779397648","1.49218273071157","1800.00967741935","6","0.5","399.973419354839","459.136193548387","17.1128064516129","9.48902935483871","500.012096774194","98.4061096774194","0.0999881967741936","25.4248741935484","24.9906129032258","356.009","382.688","36625","17","3","17-3","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-3.xlsx","2","0.710568448235977","42","13","2021-04-12 10:40:22","393.941380921709","4.36934783097276","398.310728752681","-7.90133245182323","12","2021-04-12 10:40:02","448.403221265492","4.96600585454041","453.369227120032","-9.37712182684014","406.937257887009","463.534687807983","0.0196812219354839","0.282476376009294","2.11786783195598","376.72910767883","0.000393598281730847","0.000451818066191954","0.000370724458889193","0.000211422094390772","7.76055889546941","8.23431878027527","4.21166180518186","0.0123363139449187","4.6527711431404e-06","-1.37712182684014","12.4007990016404","17.9402509785668","-0.0111092797499828","0.140550442248738","3311661.95264307","5.41001081442766","0.612135921024663"
"6","2021-04-12 10:43:04","0.00659837843801797","46.997744665362","399.969580645161","217.46359206586","21.42329027361","39.4027540213732","0.462275704929548","2.90132334200615","0.424912007667394","0.268674874254455","24.9912451612903","3.1780183181416","51.6291337477018","1.68597313975755","3.26554605389365","1.49204517838405","1800.00903225806","6","0.5","399.969580645161","459.532387096774","17.1139806451613","9.33162774193548","500.012322580645","98.4143580645161","0.100018848387097","25.4477096774194","24.9912451612903","356.038","382.454","36625","17","3","17-3","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-3.xlsx","2","0.710568448235977","43","13","2021-04-12 10:43:22","393.994587401815","4.37001849535152","398.364605897166","-7.88304945696183","12","2021-04-12 10:43:02","448.591111873399","4.96689374133616","453.558005614735","-9.6149980960214","406.933838480782","463.860964945662","0.0196828716129032","0.288922315580968","2.11775426423807","376.567579511596","0.000393627495245272","0.000452245848859837","0.000370596566055424","0.000214015398155654","7.71508957473459","8.21761311924335","4.20766109663796","0.0123311533999213","4.65316113780218e-06","-1.6149980960214","14.5543613208639","18.1049478846382","-0.0131131806194677","0.140550340321274","3331621.31494318","3.42314940407248","0.973262023264188"
"7","2021-04-12 10:46:04","0.00664134420743519","47.0822367945057","399.994733333333","218.117373107321","21.4901284578176","39.4096906602407","0.465000109149033","2.90225084813586","0.427225007778797","0.270153384468938","24.9552733333333","3.17120865101447","51.4981547342666","1.677284725357","3.25698024329587","1.49392392565747","1800.00866666667","6","0.5","399.994733333333","459.6806","17.02386","9.190002","500.0052","98.4255433333333","0.09998057","25.4035133333333","24.9552733333333","356.117","382.334","36625","17","3","17-3","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-3.xlsx","2","0.710568448235977","44","13","2021-04-12 10:46:22","393.969693351042","4.36906541425388","398.338758765296","-8.03674969171508","12","2021-04-12 10:46:02","448.836893525285","4.96837234942324","453.805265874709","-9.86266081271758","406.922118509746","463.944248572268","0.0196851086666667","0.290625068218145","2.11843127601158","376.552436252416","0.000393696989588051","0.000452443128147927","0.000370623781316344","0.000214683209585274","7.70166583267056","8.18160885774797","4.20666397633175","0.0123435101951015","4.65368999211978e-06","-1.86266081271758","15.2901925654454","18.1456632633701","-0.0151431910289282","0.140544976014492","3337550.35668036","2.7300689129391","1.22251505845223"
"8","2021-04-12 10:49:04","0.0066652620326917","47.2182509387918","399.991741935484","218.148411931197","21.494342046501","39.4115145777393","0.466565640165577","2.90134859742468","0.42853609484366","0.270993079519909","24.9703032258065","3.1740523408273","51.5658545411743","1.67929065306815","3.25659424828743","1.49476168775915","1800.00709677419","6","0.5","399.991741935484","459.852161290322","17.0433032258065","9.18140387096774","500.006193548387","98.4308096774193","0.100010951612903","25.4015193548387","24.9703032258065","356.155","382.264","36625","17","3","17-3","C:\Users\eloch\Box Sync\Coralie things\2021-08-09 gm analysis\2021-04-12- pluto site13 cs gm 36625-17-3.xlsx","2","0.710568448235977","45","13","2021-04-12 10:49:22","394.007065605037","4.36993100666378","398.376996611701","-7.93433156001033","12","2021-04-12 10:49:02","448.825070264036","4.96885262294135","453.793922886977","-9.74086262421092","406.927124305834","464.113373615402","0.0196861619354839","0.291603525103486","2.11777269885013","376.473673309988","0.00039371511022991","0.000452636205677176","0.000370566084861344","0.000214725248162309","7.68207383520704","8.18872415681833","4.20600276657158","0.0123495702456664","4.65393899184016e-06","-1.74086262421092","15.1372158835503","18.1476472539116","-0.014115153140324","0.140547730803133","3346846.96600931","2.88399879269856","1.16048833809589"
