"TOA5","TGA Sampling System","CR3000","3722","CR3000.Std.28.02","CPU:TGAsampling_v1_2_LICOR_high_CO2__site_11_13_CalTank2_ed.CR3","34080","SiteAvg"
"TIMESTAMP","RECORD","valve_number","diag_system_Avg","NumSamples","Conc12C_Avg","Conc13C_Avg","TGAStatus_Avg","TGAPressure_Avg","LaserTemp_Avg","DCCurrentA_Avg","DCCurrentB_Avg","TGAAnalog1_Avg","TGATemp1_Avg","TGATemp2_Avg","LaserCooler_Avg","RefDetSigA_Avg","RefDetSigB_Avg","RefDetTransA_Avg","RefDetTransB_Avg","RefDetTemp_Avg","RefDetCooler_Avg","RefDetGainOffset_Avg","SmpDetSigA_Avg","SmpDetSigB_Avg","SmpDetTransA_Avg","SmpDetTransB_Avg","SmpDetTemp_Avg","SmpDetCooler_Avg","SmpDetGainOffset_Avg","TGATemp1DutyCycle_Avg","TGATemp2DutyCycle_Avg","SampleFlow_Avg","ExcessFlow_Avg","SamplePress_Avg","BypassPress_Avg","SampleP_control_Avg","BypassP_control_Avg","TGAPress_control_Avg","panel_tmpr_Avg","batt_volt_Avg","buff_depth_Max","Conc12C_Std","Conc13C_Std","TGAStatus_Std","TGAPressure_Std","LaserTemp_Std","DCCurrentA_Std","DCCurrentB_Std","TGAAnalog1_Std","TGATemp1_Std","TGATemp2_Std","LaserCooler_Std","RefDetSigA_Std","RefDetSigB_Std","RefDetTransA_Std","RefDetTransB_Std","RefDetTemp_Std","RefDetCooler_Std","RefDetGainOffset_Std","SmpDetSigA_Std","SmpDetSigB_Std","SmpDetTransA_Std","SmpDetTransB_Std","SmpDetTemp_Std","SmpDetCooler_Std","SmpDetGainOffset_Std","TGATemp1DutyCycle_Std","TGATemp2DutyCycle_Std","SampleFlow_Std","ExcessFlow_Std","SamplePress_Std","BypassPress_Std","SampleP_control_Std","BypassP_control_Std","TGAPress_control_Std","panel_tmpr_Std","batt_volt_Std","Li64Match_Avg(1)","Li64Match_Avg(2)","Li64Tmpr_Avg(1)","Li64Tmpr_Avg(2)","Li64Heat_Avg(1)","Li64Heat_Avg(2)","_Mix_diag_system_Avg","_Mix_ExcessZeroFlow_Avg","_Mix_ExcessMixFlow_Avg","_Mix_CO2Press_Avg","_Mix_ZeroPress_Avg","_Mix_CO2P_control_Avg","_Mix_ZeroP_control_Avg","_Mix_MixTmpr1_Avg","_Mix_MixTmpr2_Avg","_Mix_MixHeat1_Avg","_Mix_MixHeat2_Avg","_Mix_panel_tmpr_Avg","_Mix_batt_volt_Avg"
"TS","RN","","","","ppm","ppm","","mb","degC","mA","mA","V","degC","degC","V","mV","mV","%","%","degC","","","mV","mV","%","%","degC","","","","","ml_min","ml_min","mb","mb","","","","degC","V","","ppm","ppm","","mb","degC","mA","mA","V","degC","degC","V","mV","mV","%","%","degC","","","mV","mV","%","%","degC","","","","","ml_min","ml_min","mb","mb","","","","degC","V","","","degC","degC","","","","","","","","","","","","","","",""
"","","Smp","Avg","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-08-04 07:46:32.6",0,20,0,70,3.39335,0.02931378,0,29.99639,-0.999998,73.58758,71.43317,0.02397044,23.59583,23.55116,2.436866,2.862764,2.159526,51.43767,41.2529,-20.00014,812.1892,12326,53.52389,50.46465,99.81471,99.99475,-26.99992,906.5593,12664,1,1,163.9415,97.27964,400.0048,400.0135,0.3972116,0.4741657,0.520066,23.57921,11.76768,0,0.1733262,0.001674525,0,0.01302786,0.0002596351,0.0002790599,0.0003506448,1.339603E-05,0.000288394,0.0003320422,0.0003117219,0.009248317,0.01114037,0.207652,0.2418824,0.001435027,0.1395468,0,0.01651459,0.01631588,0.03772354,0.03967599,0.002006505,0.1967115,0,0,0,0.2157451,0.1417461,0.02517835,0.09678463,7.050616E-05,0.0001121216,0.0006787594,0.005648728,0.002605657,1,0,-78.42715,"NAN",1,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-08-04 07:46:52.6",1,21,0,70,86.86874,0.9474039,0,29.9989,-0.9999961,73.58763,71.43327,0.02396706,23.59872,23.55376,2.4369,2.878582,2.170491,51.7414,41.43319,-20,812.2093,12326,52.31747,48.93385,97.59933,97.06501,-27,906.5491,12664,1,1,163.9668,106.2805,400.0011,400.0069,0.4012349,0.4728014,0.5212633,23.58912,11.76464,0,0.08801142,0.001018226,0,0.01182174,0.0002206053,0.000212745,0.0002513757,1.517183E-05,0.0003802138,0.0003658823,0.0002650567,0.01048426,0.00968575,0.2261841,0.2131897,0.001403975,0.1330319,0,0.01889778,0.01297184,0.04128587,0.03465189,0.002039631,0.2019805,0,0,0,0.2156725,0.1457404,0.02273218,0.03206602,5.010894E-05,3.383164E-05,0.0006071997,0.001983616,0.002852512,1,0,-76.69936,"NAN",1,0,960,0.4304865,162.7278,12.57205,16.87579,0,0,30.40167,30.23779,1,1,22.8356,9.522518
"2023-08-04 07:47:12.6",2,23,0,70,399.0124,4.385955,0,29.99834,-0.9999961,73.58742,71.43319,0.02397049,23.60167,23.55671,2.436924,2.888262,2.183662,51.89882,41.68895,-19.99995,812.2139,12326,48.06242,43.65194,89.76817,86.93806,-27.00011,906.5455,12664,1,1,164.0591,139.5138,399.9982,399.9881,0.412001,0.4692768,0.5223562,23.59155,11.76351,0,0.2896453,0.003435964,0,0.01135638,0.0002097188,0.0002252046,0.0002038061,1.22778E-05,0.0003752992,0.000374694,0.0002518576,0.00819672,0.007342706,0.1860974,0.1733341,0.001169777,0.1204747,0,0.01040949,0.01186982,0.02680563,0.02919473,0.001331447,0.133148,0,0,0,0.1657255,0.1199229,0.02051331,0.07271167,5.546668E-05,0.0001216777,0.0005779631,0.001879803,0.002677768,1,0,-77.47322,"NAN",1,0,960,0.3809472,162.2747,12.59576,16.87603,0,0,30.40167,30.23862,1,1,22.84001,9.519985
"2023-08-04 07:47:32.6",3,26,4,70,1306.396,14.40224,0,29.99631,-0.9999852,73.58724,71.43304,0.02396931,23.60452,23.55935,2.436957,2.89571,2.191772,52.02825,41.8376,-19.99997,812.2204,12326,37.60056,31.35154,70.47705,63.168,-26.99995,906.529,12642,1,1,161.4271,0.1256217,395.5323,400.1202,0.2,0.4828086,0.5230308,23.59331,11.76408,0,0.6341361,0.006713053,0,0.008545018,0.0002034582,0.0002360226,0.0002765676,1.126898E-05,0.0003004751,0.000352243,0.0002440286,0.005651114,0.005504772,0.1353408,0.1317533,0.0008735518,0.08527958,0,0.008404854,0.00892424,0.02113122,0.0215359,0.0008241606,0.07569315,0,0,0,0.07083701,0.009413339,0.04285639,0.1473403,0,0.000444747,0.0004666772,0.002041538,0.002541979,1,0,-81.03267,"NAN",1,0,960,0.4319161,162.3067,12.61609,16.87605,0,0,30.39907,30.23829,1,1,22.84027,9.521838
"2023-08-04 07:47:52.6",4,2,0,70,301.1327,3.311187,0,29.99726,-0.9999971,73.5873,71.43314,0.02396791,23.60709,23.56214,2.436976,2.9068,2.205201,52.21804,42.08722,-19.99991,812.2354,12326,49.40604,45.30233,92.23904,90.10071,-26.99996,906.5628,12665,1,1,162.3138,59.94348,400.023,400.1121,0.3815815,0.4944228,0.5236247,23.59534,11.7655,0,1.420189,0.01536946,0,0.00937145,0.0002285932,0.0001733588,0.000189329,1.169428E-05,0.000350414,0.0003337968,0.0002741803,0.004825418,0.004945687,0.1099615,0.1143779,0.0008247982,0.07489841,0,0.02076192,0.02409348,0.04137049,0.04772544,0.0008015265,0.07396374,0,0,0,0.173879,0.09391717,0.0221755,0.09795853,0.0001317562,0.0003608671,0.0004824214,0.002074185,0.002512744,1,0,-78.34422,"NAN",1,0,960,0.4025217,162.3094,12.63386,16.8765,0,0,30.38968,30.23747,1,1,22.84065,9.51899
"2023-08-04 07:48:12.6",5,10,0,70,415.083,4.573469,0,29.99865,-0.999998,73.58739,71.43317,0.02397026,23.61003,23.56476,2.437006,2.910907,2.208153,52.29453,42.13919,-19.99998,812.2328,12326,47.92003,43.46828,89.5048,86.58011,-27.00003,906.5583,12665,1,1,165.3835,52.55917,400.0047,400.0335,0.3775648,0.4796902,0.5242832,23.59746,11.76577,0,0.2261378,0.001858926,0,0.009729094,0.0002397813,0.0002722183,0.0002575035,1.509154E-05,0.0003317619,0.0003023893,0.000288159,0.002719435,0.002508986,0.05657109,0.05466463,0.0007550243,0.07234664,0,0.003389614,0.004139174,0.008733096,0.009376339,0.0007711184,0.07694709,0,0,0,0.1275064,0.1017684,0.02533536,0.3281466,9.890099E-05,0.0003985089,0.000503587,0.001746693,0.002885147,1,0,-76.8699,"NAN",1,0,960,0.4045701,162.4161,12.64769,16.87653,0,0,30.38455,30.23763,1,1,22.8408,9.522817
"2023-08-04 07:48:32.6",6,11,0,70,415.8873,4.582373,0,30.00028,-0.9999871,73.58736,71.43318,0.02396873,23.61285,23.56757,2.437052,2.914133,2.211028,52.35214,42.19004,-20.00001,812.2444,12326,47.91708,43.46523,89.49988,86.57548,-27,906.5669,12665,1,1,166.124,60.07542,400.0161,400.0006,0.3824267,0.4778539,0.524849,23.59933,11.76584,0,0.203409,0.001789671,0,0.01115635,0.0002833495,0.000229455,0.0002700004,1.346992E-05,0.000466803,0.0003045765,0.0003402579,0.00270185,0.002142655,0.05820679,0.04828853,0.0008111425,0.07704268,0,0.004179599,0.003550277,0.009712441,0.008717636,0.0007229028,0.06704539,0,0,0,0.09087258,0.1271231,0.03313569,0.0250433,9.317545E-05,2.728671E-05,0.0005743117,0.001774528,0.002723104,1,0,-80.59468,"NAN",1,0,960,0.4326919,162.3721,12.65757,16.87643,0,0,30.38745,30.2373,1,1,22.8408,9.520926
"2023-08-04 07:48:52.6",7,12,0,70,415.8477,4.602705,0,29.99958,-1.000008,73.58736,71.43314,0.02396791,23.61542,23.57011,2.437055,2.917555,2.215069,52.41125,42.26323,-19.99997,812.2532,12326,47.92701,43.44848,89.51805,86.54335,-27.00001,906.5724,12665,1,1,165.369,59.68115,400.0035,400.0024,0.382203,0.4778748,0.5255111,23.60129,11.76618,0,0.1821995,0.002107126,0,0.01310028,0.0002484875,0.0002185455,0.0002965435,1.423678E-05,0.0003521978,0.0003382948,0.0002980718,0.002967123,0.002377381,0.06362434,0.05299316,0.0008457221,0.08280857,0,0.004224689,0.00403505,0.0103313,0.009807867,0.0007563359,0.06924869,0,0,0,0.09638932,0.1258343,0.03555085,0.01812734,0.000133651,1.961394E-05,0.0006829743,0.001794332,0.002398228,1,0,-80.49235,"NAN",1,0,960,0.4087628,162.4072,12.66589,16.87673,0,0,30.38619,30.2373,1,1,22.8408,9.523026
