"TOA5","TGA Sampling System","CR3000","3722","CR3000.Std.28.02","CPU:TGAsampling_v1_2_LICOR_high_CO2__site_11_13_CalTank2.CR3","2183","SiteAvg"
"TIMESTAMP","RECORD","valve_number","diag_system_Avg","NumSamples","Conc12C_Avg","Conc13C_Avg","TGAStatus_Avg","TGAPressure_Avg","LaserTemp_Avg","DCCurrentA_Avg","DCCurrentB_Avg","TGAAnalog1_Avg","TGATemp1_Avg","TGATemp2_Avg","LaserCooler_Avg","RefDetSigA_Avg","RefDetSigB_Avg","RefDetTransA_Avg","RefDetTransB_Avg","RefDetTemp_Avg","RefDetCooler_Avg","RefDetGainOffset_Avg","SmpDetSigA_Avg","SmpDetSigB_Avg","SmpDetTransA_Avg","SmpDetTransB_Avg","SmpDetTemp_Avg","SmpDetCooler_Avg","SmpDetGainOffset_Avg","TGATemp1DutyCycle_Avg","TGATemp2DutyCycle_Avg","SampleFlow_Avg","ExcessFlow_Avg","SamplePress_Avg","BypassPress_Avg","SampleP_control_Avg","BypassP_control_Avg","TGAPress_control_Avg","panel_tmpr_Avg","batt_volt_Avg","buff_depth_Max","Conc12C_Std","Conc13C_Std","TGAStatus_Std","TGAPressure_Std","LaserTemp_Std","DCCurrentA_Std","DCCurrentB_Std","TGAAnalog1_Std","TGATemp1_Std","TGATemp2_Std","LaserCooler_Std","RefDetSigA_Std","RefDetSigB_Std","RefDetTransA_Std","RefDetTransB_Std","RefDetTemp_Std","RefDetCooler_Std","RefDetGainOffset_Std","SmpDetSigA_Std","SmpDetSigB_Std","SmpDetTransA_Std","SmpDetTransB_Std","SmpDetTemp_Std","SmpDetCooler_Std","SmpDetGainOffset_Std","TGATemp1DutyCycle_Std","TGATemp2DutyCycle_Std","SampleFlow_Std","ExcessFlow_Std","SamplePress_Std","BypassPress_Std","SampleP_control_Std","BypassP_control_Std","TGAPress_control_Std","panel_tmpr_Std","batt_volt_Std","Li64Match_Avg(1)","Li64Match_Avg(2)","Li64Tmpr_Avg(1)","Li64Tmpr_Avg(2)","Li64Heat_Avg(1)","Li64Heat_Avg(2)","_Mix_diag_system_Avg","_Mix_ExcessZeroFlow_Avg","_Mix_ExcessMixFlow_Avg","_Mix_CO2Press_Avg","_Mix_ZeroPress_Avg","_Mix_CO2P_control_Avg","_Mix_ZeroP_control_Avg","_Mix_MixTmpr1_Avg","_Mix_MixTmpr2_Avg","_Mix_MixHeat1_Avg","_Mix_MixHeat2_Avg","_Mix_panel_tmpr_Avg","_Mix_batt_volt_Avg"
"TS","RN","","","","ppm","ppm","","mb","degC","mA","mA","V","degC","degC","V","mV","mV","%","%","degC","","","mV","mV","%","%","degC","","","","","ml_min","ml_min","mb","mb","","","","degC","V","","ppm","ppm","","mb","degC","mA","mA","V","degC","degC","V","mV","mV","%","%","degC","","","mV","mV","%","%","degC","","","","","ml_min","ml_min","mb","mb","","","","degC","V","","","degC","degC","","","","","","","","","","","","","","",""
"","","Smp","Avg","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-07-13 06:30:39",0,20,128,100,3.165272,0.1354268,96,29.99733,-4.000007,50.40808,38.92287,0.02443478,30.00138,30.00197,2.018018,2.424968,0.4913765,40.26503,53.9083,-35.00007,1460.859,8217,57.78354,10.02638,99.80189,114.572,-38.99997,1448.85,8456,0.1236187,0.05467471,166.8097,95.86028,399.9813,400.0398,0.4085164,0.4877775,0.5225056,24.85628,11.77198,0,0.5412796,0.008143419,0,0.01214038,0.000284594,0.0005085269,0.0007098732,1.340934E-05,0.004300511,0.001946976,0.0003416441,0.00284607,0.001416577,0.04820429,0.1909396,0.002619238,0.2233748,0,0.01069583,0.004832128,0.02021934,0.06185837,0.001302229,0.112177,0,0.01173243,0.008039078,0.1754582,0.1065308,0.02089204,0.119082,0.000163888,0.0001405285,0.0006355672,0.008067545,0.002573256,1,0,-78.63174,"NAN",1,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-13 06:30:59",1,21,128,100,85.65374,1.029875,96,29.99852,-4.000023,50.40881,38.9235,0.02443377,30.00269,30.005,2.018014,2.407683,0.4885088,39.97722,53.56311,-35.00002,1460.894,8217,56.008,9.769942,96.75844,111.6511,-39.00005,1448.841,8456,0.1189046,0.04436974,166.602,105.605,399.9851,399.9982,0.4117972,0.4859072,0.5232301,24.87171,11.76843,0,0.2059695,0.006441196,0,0.01188717,0.0002566715,0.000621751,0.0007718091,1.286864E-05,0.001473257,0.001884359,0.0003080837,0.002818051,0.00174451,0.04554042,0.2328617,0.002939717,0.2637589,0,0.004822975,0.005840643,0.008390626,0.05397386,0.001272585,0.1007244,0,0.008555148,0.00936726,0.1696186,0.1236389,0.02511104,0.05157572,0.0001382987,8.930152E-05,0.0006136734,0.00202293,0.002470617,1,0,-77.77774,"NAN",1,0,960,0.3866338,157.5539,10.19316,16.46802,0,0,32.05652,31.74637,1,1,24.1596,9.625179
"2022-07-13 06:31:19",2,23,128,100,369.5403,4.102264,96,29.99776,-3.999988,50.40821,38.9231,0.02443532,30.00113,29.99606,2.018024,2.386172,0.4846703,39.62249,53.15278,-35.00011,1460.845,8217,50.23049,8.921034,86.85763,102.0931,-39.00002,1448.841,8456,0.120766,0.06371932,166.1357,141.2511,399.9839,400.0286,0.4225679,0.4817916,0.5240725,24.87452,11.76736,0,1.280556,0.01728971,0,0.01127077,0.0002882278,0.0006507229,0.000840063,1.310837E-05,0.001986489,0.001846529,0.0003464774,0.003729848,0.002025504,0.06527235,0.2792455,0.002658054,0.241069,0,0.01662818,0.006703926,0.02561451,0.0546191,0.001000552,0.09720305,0,0.009915101,0.008762122,0.1778991,0.1501861,0.02217637,0.1230319,0.000145673,0.000149805,0.0006066287,0.002314299,0.002710086,1,0,-82.25706,"NAN",1,0,960,0.3899803,157.1445,10.23936,16.46606,0,0,32.05582,31.74637,1,1,24.16021,9.62015
"2022-07-13 06:31:39",3,26,132,100,1158.573,12.57532,96,29.99914,-3.999985,50.40858,38.92339,0.02443633,29.99127,30.00231,2.018038,2.359732,0.4801658,39.18595,52.6511,-35.00013,1460.866,8217,36.94496,6.922822,64.05085,79.51435,-39.00005,1448.823,8456,0.1479505,0.05320421,163.1069,0.09919377,396.7027,399.8519,0.2,0.4946197,0.5246972,24.87792,11.76768,0,4.544201,0.05512253,0,0.01207982,0.0003132484,0.0005045193,0.0008001939,1.239111E-05,0.004435178,0.001216495,0.0003761274,0.003837009,0.002047904,0.06645875,0.2657723,0.00261042,0.224518,0,0.04192086,0.008554573,0.06982557,0.08017553,0.001243462,0.09911762,0,0.01350349,0.007723425,0.08063052,0.01004717,0.1209945,0.3948909,0,0.0003744923,0.0006209648,0.002144333,0.002474303,1,0,-80.08039,"NAN",1,0,960,0.4136333,157.2115,10.28184,16.46797,0,0,32.05067,31.74637,1,1,24.16021,9.628907
"2022-07-13 06:31:59",4,2,128,100,274.6888,3.088011,96,29.99833,-4.000005,50.40802,38.92281,0.0244351,30.00056,30.00164,2.017993,2.341967,0.4771116,38.89577,52.34636,-34.99998,1460.835,8217,51.97799,9.175649,89.85017,104.9973,-38.99998,1448.835,8456,0.1311299,0.05218844,161.271,55.95922,400.0107,399.9073,0.3936119,0.5058397,0.5253456,24.88048,11.76968,0,1.763519,0.02047676,0,0.0104014,0.0003189285,0.0003576845,0.0005828969,1.216333E-05,0.001655813,0.001139056,0.0003832086,0.00335511,0.001664558,0.05568679,0.2024036,0.002818703,0.2616324,0,0.0306261,0.006860022,0.05184572,0.07399471,0.001035617,0.08687674,0,0.009260844,0.008436886,0.1411117,0.146242,0.02339057,0.3066475,7.530869E-05,0.0003112282,0.000551088,0.00213781,0.00267547,1,0,-79.45718,"NAN",1,0,960,0.3986786,157.4358,10.31997,16.47429,0,0,32.0374,31.74637,1,1,24.16021,9.626355
"2022-07-13 06:32:19",5,10,128,100,362.333230510769,4.02899140282385,96,29.99834,-4.000002,50.40815,38.92292,0.02443269,30.0052,29.99891,2.017981,2.326054,0.4747241,38.63445,52.09251,-34.99983,1460.832,8217,50.11311,8.911901,86.65871,102.0173,-39.00002,1448.81,8456,0.1177003,0.06028627,168.9494,58.39093,400.0223,400.0223,0.3938546,0.4877476,0.5252256,24.88394,11.76994,0,0.2245752,0.007749429,0,0.01214875,0.00029378,0.0005526804,0.0007597519,1.481933E-05,0.002026505,0.001621884,0.0003530775,0.002248483,0.001375574,0.03862317,0.1985025,0.002693342,0.2494422,0,0.004787498,0.004721414,0.008400328,0.05327606,0.001440644,0.1157262,0,0.009611606,0.008005626,0.1134611,0.2744608,0.0571625,0.3277813,0.0002281613,0.0004967101,0.0006329112,0.002403086,0.002423242,1,0,-79.83471,"NAN",1,0,960,0.4114067,157.1019,10.35869,16.47375,0,0,32.02438,31.74585,1,1,24.16021,9.628343
"2022-07-13 06:32:39",6,11,128,100,368.10563883431,4.03589885973778,96,29.99918,-4.000002,50.40844,38.92339,0.02443168,29.99825,30.00076,2.017985,2.322445,0.4739804,38.57384,51.99152,-35.00008,1460.813,8217,50.11016,8.912751,86.64993,101.9885,-38.99994,1448.82,8456,0.1263151,0.05750524,168.8575,56.31984,399.9826,399.9852,0.3923968,0.4871761,0.5258084,24.88727,11.77036,0,0.1584542,0.008394964,0,0.01296407,0.0002771776,0.0004900597,0.0007257148,1.235448E-05,0.002920392,0.0007242869,0.0003333515,0.001405968,0.001515694,0.02764869,0.215657,0.002492793,0.2450661,0,0.004592447,0.005239086,0.007436468,0.04520063,0.0012267,0.1449281,0,0.0101525,0.00728896,0.09626577,0.167744,0.04934897,0.02541018,0.0001411073,3.582126E-05,0.0006667599,0.002523319,0.002279142,1,0,-78.87639,"NAN",1,0,960,0.3812764,156.8128,10.39472,16.4744,0,0,32.02208,31.74603,1,1,24.16021,9.624671
"2022-07-13 06:32:59",7,12,128,100,371.952532320578,4.04380800355384,96,29.99997,-4.000006,50.40747,38.92213,0.02443339,30.0053,29.99995,2.017943,2.328091,0.4746509,38.66805,52.10284,-35.00012,1460.829,8217,50.03679,8.895658,86.53169,101.8924,-39.00006,1448.803,8456,0.1060264,0.05982266,169.3848,108.4478,400.0211,400.0112,0.413171,0.4812149,0.5262446,24.89008,11.77018,0,0.2637987,0.008456375,0,0.01082955,0.0002470715,0.0005282736,0.0006224159,1.301105E-05,0.003367533,0.002202759,0.0002969006,0.002124874,0.001490542,0.03552632,0.2215834,0.003032358,0.2971887,0,0.005084736,0.004750217,0.007897183,0.04895273,0.001153498,0.1210423,0,0.01036817,0.008379396,0.1314857,0.5245599,0.04665955,0.1289964,0.0002682285,0.0001855175,0.0005573485,0.002334314,0.002181677,1,0,-77.12173,"NAN",1,0,960,0.3938261,156.4564,10.42805,16.47344,0,0,32.02191,31.74637,1,1,24.16021,9.620914
